rh_id;n_ref;not_included;statut_infos;departement;code_departement;ville;code_commune;nom;structure_porteuse;code_postal;adresse;adresse_suite;adresse_full;geo_lat;geo_lon;nature_juridique;type_lieu;rattachement;tel_structure
RH_fiche_509_;Ref_0509;;;31;=31=;Toulouse;;Centre social et culturel Raymond IV  Alliances et cultures;Alliances et Cultures;31000;4 rue de l'orient;;4 rue de l'orient 31000 Toulouse;;;;;;09.80.87.56.48
RH_fiche_510_;Ref_0510;;;65;=65=;Vic-en-Bigorre;;Mediathèque;Communauté de Communes Adour-Madiran;65500;Quai Rossignol;;Quai Rossignol 65500 Vic-en-Bigorre;;;Communauté de commune ;;;
RH_fiche_511_;Ref_0511;;;31;=31=;Ayguesvives;;Espace Coc@gne - Tiers-Lieu d'Ayguesvives;Mairie d'Ayguesvives;31450;7 route de Ticaille;;7 route de Ticaille 31450 Ayguesvives;;;Communauté de commune ;;;06 74 94 38 34
RH_fiche_512_;Ref_0512;;;31;=31=;Ramonville st Agne;;Cyberdicap Multiservices;Préfecture;31520;8 Avenue Occitanie;;8 Avenue Occitanie 31520 Ramonville st Agne;;;Association;;;668497899
