rh_id,n_ref,statut_infos,departement,code_departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure
RH_fiche_30_,Ref_0030,,11,=11=,Saint Marcel sur Aude,,France Services - Centre Socioculturel et Familial ‘Les Passerelles’,,11120,107 avenue de Saint Pons,BP 8,107 avenue de Saint Pons 11120 Saint Marcel sur Aude,,,,Centre social,,04 68 42 35 25
RH_fiche_31_,Ref_0031,,11,=11=,Salles sur l'hers,,France Services - Centre social Energies de la Piège,Castelnaudary Lauragais Audois,11410,9 Rue des Rosiers,,9 Rue des Rosiers 11410 Salles sur l'hers,,,Association,MSAP,,04 68 60 38 98
RH_fiche_32_,Ref_0032,,11,=11=,Sigean,,France Services - PIMMS - Corbières Méditerranée,Union Nationale des PIMMS,11130,2 place de la Libération,,2 place de la Libération 11130 Sigean,,,,PIMMS,,04 68 33 51 12
RH_fiche_33_,Ref_0033,,11,=11=,Thezan des corbieres,,Espace Public Numérique de la Contrée de Durban-Corbières,,11200,,,11200 Thezan des corbieres,,,,,,
RH_fiche_34_,Ref_0034,,11,=11=,Argens-minervois,,Tiers-lieu « l’oppidum »,,11200,18 Rue de l’ancienne forge,,18 Rue de l’ancienne forge 11200 Argens-minervois,,,,,,06 41 28 46 74
RH_fiche_35_,Ref_0035,,11,=11=,CARCASSONNE,,MEDIATHEQUE GRAIN D’SEL,Carcassonne Agglo,11000,Rue Fédou,,Rue Fédou 11000 CARCASSONNE,,,,Médiathèque,,04 68 10 35 50
RH_fiche_36_,Ref_0036,,11,=11=,Chalabre,,Maison de Services au Public de Chalabre,La Poste,11230,Bureau de poste Avenue Auguste Cathala,,Bureau de poste Avenue Auguste Cathala 11230 Chalabre,,,,MSAP,,
RH_fiche_37_,Ref_0037,,11,=11=,Axat,,Maison de Services au Public d’Axat,La Poste,11140,Bureau de poste 1 Place du Jardin public,,Bureau de poste 1 Place du Jardin public 11140 Axat,,,,MSAP,,
RH_fiche_38_,Ref_0038,,11,=11=,Belcaire,,Maison de Services au Public de Belcaire,La Poste,11340,Bureau de poste 10 rue de la Poste,,Bureau de poste 10 rue de la Poste 11340 Belcaire,,,,MSAP,,04 68 20 32 76
RH_fiche_39_,Ref_0039,,11,=11=,Belvèze-du-Razès,,Maison de Services au Public de Belvèze-du-Razès,La Poste,11240,Bureau de poste 27 allée des Platanes,,Bureau de poste 27 allée des Platanes 11240 Belvèze-du-Razès,,,,MSAP,,04 68 69 00 60
RH_fiche_40_,Ref_0040,,11,=11=,Couiza,,Maison de Services au Public de Couiza,La Poste,11190,Bureau de poste 20 RN Pyrénées,,Bureau de poste 20 RN Pyrénées 11190 Couiza,,,,MSAP,,
RH_fiche_41_,Ref_0041,,11,=11=,Villasavary,,Maison de Services au Public de Villasavary,,11150,42 rue du Barry,,42 rue du Barry 11150 Villasavary,,,,MSAP,,04 68 11 93 95
RH_fiche_42_,Ref_0042,,11,=11=,Narbonne,,Maison des Potes,,11100,5 rue Baudin,,5 rue Baudin 11100 Narbonne,,,Association,,,04 68 65 10 55
RH_fiche_43_,Ref_0043,,11,=11=,Narbonne,,L'Arche,,11100,1 rue de l'Orbieu,,1 rue de l'Orbieu 11100 Narbonne,,,Association,,,04 68 41 03 65
RH_fiche_44_,Ref_0044,,11,=11=,Narbonne,,Centre Social et Culturel NELSON MANDELA,,11100,4 Promenade Emilie Palomo,,4 Promenade Emilie Palomo 11100 Narbonne,,,,Centre social,,04 68 41 77 26
RH_fiche_45_,Ref_0045,,11,=11=,Carcassonne,,Ecole de la seconde chance,,11000,82 Rue Barbacane,,82 Rue Barbacane 11000 Carcassonne,,,,,,04 68 25 56 74
RH_fiche_46_,Ref_0046,,11,=11=,Narbonne,,MAISON DIGITALE DU CIDFF,,11100,37 avenue des Pyrénées,,37 avenue des Pyrénées 11100 Narbonne,,,,,,04.68.42.51.33
RH_fiche_47_,Ref_0047,,11,=11=,Narbonne,,LA BULLE DU WEB (WAW-coworking),,11100,12 Boulevard Gambetta,,12 Boulevard Gambetta 11100 Narbonne,,,,,,09 82 38 35 49
RH_fiche_48_,Ref_0048,,11,=11=,Narbonne,,Ecole de la seconde Chance,,11100,1 avenue gustave eiffel,,1 avenue gustave eiffel 11100 Narbonne,,,,,,04 68 40 34 12
RH_fiche_49_,Ref_0049,,11,=11=,Caunes-Minervois,,Maison de services au public Caunes-Minervois,,11160,Allée des Raisins,,Allée des Raisins 11160 Caunes-Minervois,,,,MSAP,,
RH_fiche_50_,Ref_0050,,11,=11=,Durban-Corbières,,Maison de services au public Durban-Corbières,,11360,6 Rue de la Mairie,,6 Rue de la Mairie 11360 Durban-Corbières,,,,MSAP,,
RH_fiche_51_,Ref_0051,,11,=11=,Palaja,,Médiathèque Municipale de Palaja,,11570,Rue Lô Moral,,Rue Lô Moral 11570 Palaja,,,,Médiathèque,,04 68 79 85 73
RH_fiche_52_,Ref_0052,,11,=11=,Alzonne,,Médiathèque d'Alzonne,,11170,Parc Municipal,,Parc Municipal 11170 Alzonne,,,,Médiathèque,,04 68 76 33 02
RH_fiche_53_,Ref_0053,,11,=11=,Capendu,,Maison de services au public - Piemont d'Alaric,,11700,2 Rue des Figuères,,2 Rue des Figuères 11700 Capendu,,,,MSAP,,04 68 79 87 01
RH_fiche_54_,Ref_0054,,11,=11=,Capendu,,Le Chai : Espace culturel,,11700,63 Avenue des Anciens Combattants,,63 Avenue des Anciens Combattants 11700 Capendu,,,Association,,,04 68 79 37 91
RH_fiche_55_,Ref_0055,,11,=11=,Axat,,Mairie d'Axat,,11140,66 Route Départementale,,66 Route Départementale 11140 Axat,,,collectivité territoriale,,,04 68 20 50 28
RH_fiche_56_,Ref_0056,,11,=11=,Espezel,,Médiathèque du Pays de Sault,,11230,Grand'Rue,,Grand'Rue 11230 Espezel,,,,Médiathèque,,04 68 74 38 93
