rh_id;n_ref;not_included;statut_infos;departement;code_departement;ville;code_commune;nom;structure_porteuse;code_postal;adresse;adresse_suite;adresse_full;geo_lat;geo_lon;nature_juridique;type_lieu;rattachement;tel_structure;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district
RH_fiche_509_;Ref_0509;;;31;=31=;Toulouse;;Centre social et culturel Raymond IV  Alliances et cultures;Alliances et Cultures;31000;4 rue de l'orient;;4 rue de l'orient 31000 Toulouse;;;;;;09.80.87.56.48;43.610084;1.448802;4 Rue de l’Orient 31000 Toulouse;0.98;housenumber;31555_6412_00004;4;Rue de l’Orient;;31000;Toulouse;31, Haute-Garonne, Occitanie;31555;;;
RH_fiche_510_;Ref_0510;;;65;=65=;Vic-en-Bigorre;;Mediathèque;Communauté de Communes Adour-Madiran;65500;Quai Rossignol;;Quai Rossignol 65500 Vic-en-Bigorre;;;Communauté de commune ;;;;43.383138;0.051068;Quai Rossignol 65500 Vic-en-Bigorre;0.96;street;65460_1180;;Quai Rossignol;;65500;Vic-en-Bigorre;65, Hautes-Pyrénées, Occitanie;65460;;;
RH_fiche_511_;Ref_0511;;;31;=31=;Ayguesvives;;Espace Coc@gne - Tiers-Lieu d'Ayguesvives;Mairie d'Ayguesvives;31450;7 route de Ticaille;;7 route de Ticaille 31450 Ayguesvives;;;Communauté de commune ;;;06 74 94 38 34;43.438145;1.597727;7 Route de Ticaille 31450 Ayguesvives;0.96;housenumber;31004_0059_00007;7;Route de Ticaille;;31450;Ayguesvives;31, Haute-Garonne, Occitanie;31004;;;
RH_fiche_512_;Ref_0512;;;31;=31=;Ramonville st Agne;;Cyberdicap Multiservices;Préfecture;31520;8 Avenue Occitanie;;8 Avenue Occitanie 31520 Ramonville st Agne;;;Association;;;668497899;43.545065;1.478255;8 Avenue d’Occitanie 31520 Ramonville-Saint-Agne;0.83;housenumber;31446_0550_00008;8;Avenue d’Occitanie;;31520;Ramonville-Saint-Agne;31, Haute-Garonne, Occitanie;31446;;;
